Customer_ID,snapshot_date,Name,Age,SSN,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Type_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,fe_1,fe_2,fe_3,fe_4,fe_5,fe_6,fe_7,fe_8,fe_9,fe_10,fe_11,fe_12,fe_13,fe_14,fe_15,fe_16,fe_17,fe_18,fe_19,fe_20,loan_id,loan_start_date,tenure,installment_num,loan_amt,due_amt,paid_amt,overdue_amt,balance
CUS_0x1015,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,62.0,139.0,156.0,79.0,94.0,20.0,94.0,14.0,194.0,69.0,66.0,-25.0,113.0,-139.0,48.0,-43.0,106.0,-88.0,316.0,34.0,,,,,,,,,
CUS_0x104f,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x104f_2024_10_01,2024-10-01,10.0,2.0,10000.0,1000.0,1000.0,0.0,8000.0
CUS_0x109b,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,-89.0,18.0,204.0,169.0,17.0,-155.0,165.0,-11.0,32.0,77.0,33.0,-12.0,134.0,100.0,15.0,136.0,38.0,61.0,3.0,131.0,,,,,,,,,
CUS_0x10df,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x10df_2024_11_01,2024-11-01,10.0,1.0,10000.0,1000.0,1000.0,0.0,9000.0
CUS_0x1108,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x1108_2024_07_01,2024-07-01,10.0,5.0,10000.0,1000.0,0.0,1000.0,6000.0
CUS_0x112f,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,-65.0,154.0,-4.0,-43.0,52.0,92.0,10.0,-9.0,18.0,127.0,97.0,117.0,15.0,81.0,168.0,51.0,191.0,-113.0,178.0,,,,,,,,,
CUS_0x1155,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,185.0,324.0,-27.0,260.0,100.0,52.0,155.0,194.0,263.0,-54.0,93.0,72.0,26.0,40.0,237.0,290.0,-5.0,50.0,-72.0,61.0,,,,,,,,,
CUS_0x1185,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,355.0,214.0,333.0,-49.0,114.0,107.0,385.0,88.0,294.0,121.0,192.0,65.0,224.0,-35.0,113.0,192.0,-55.0,114.0,22.0,245.0,CUS_0x1185_2024_05_01,2024-05-01,10.0,7.0,10000.0,1000.0,1000.0,0.0,3000.0
CUS_0x11e2,2024-12-01,Valetkevitchr,34,809-04-1419,Musician,44986.55,3689.879166666667,6.0,5.0,11.0,1,Credit-Builder Loan,0.0,4,10.26,3.0,Good,753.21,25.58628563739529,20 Years and 0 Months,No,23.26713547724025,43.20363344633164,High_spent_Large_value_payments,542.5171477430948,,,,,,,,,,,,,,,,,,,,,CUS_0x11e2_2024_12_01,2024-12-01,10.0,0.0,10000.0,0.0,0.0,0.0,10000.0
CUS_0x121b,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUS_0x121b_2024_09_01,2024-09-01,10.0,3.0,10000.0,1000.0,0.0,1000.0,8000.0
CUS_0x123a,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,203.0,234.0,129.0,288.0,125.0,82.0,8.0,-27.0,74.0,-20.0,77.0,-155.0,89.0,17.0,46.0,94.0,48.0,240.0,-41.0,34.0,,,,,,,,,
CUS_0x1271,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,122.0,26.0,-29.0,140.0,86.0,-10.0,105.0,-19.0,183.0,245.0,214.0,137.0,64.0,75.0,43.0,77.0,116.0,208.0,67.0,10.0,,,,,,,,,
CUS_0x128e,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,124.0,267.0,189.0,44.0,26.0,59.0,167.0,25.0,173.0,-28.0,91.0,155.0,8.0,69.0,103.0,42.0,111.0,-103.0,124.0,106.0,,,,,,,,,
CUS_0x133b,2024-12-01,,,,,,,,,,,,,,,,,,,,,,,,,85.0,195.0,37.0,16.0,64.0,106.0,-137.0,123.0,95.0,299.0,195.0,105.0,215.0,-27.0,240.0,110.0,108.0,71.0,5.0,169.0,CUS_0x133b_2024_05_01,2024-05-01,10.0,7.0,10000.0,1000.0,1000.0,0.0,3000.0
CUS_0x1354,2024-12-01,N.p,24,432-99-3925,Entrepreneur,78498.72,6568.56,8.0,5.0,17.0,0,,17.0,9,8.82,7.0,Standard,910.99,25.32467874435631,9 Years and 11 Months,Yes,0.0,70.04196387391798,High_spent_Medium_value_payments,836.8140361260821,,,,,,,,,,,,,,,,,,,,,CUS_0x1354_2024_12_01,2024-12-01,10.0,0.0,10000.0,0.0,0.0,0.0,10000.0
